Item_Num;moveID;loc_reject;handler_reject;obj_reject;loc_refname;crate_refname;loc_handler_refname;capture_datetime;moveCSID;move2obj_CSID;obj2move_CSID
3-12312;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;da3f2afa-9219-478f-8f6d-948be20a9835;0028299d-014e-44b9-aec1-875cd94acdaf
3-12317;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;4d018e73-a509-481e-9e9e-d94139a50c54;44598f38-59ac-434c-9491-d30879bd0e15
3-12735;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;64d89437-2c01-4295-8ef7-ddc3a5d8c031;8968a240-a7a0-48c9-8f37-e31921d1c1ee
3-10302;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;47a980c3-395a-4c40-93b0-67fb0461dcbb;1776887a-8e34-4291-b4cb-899a2758f708
3-10378;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;18e31837-8ec4-4149-bc8d-e27767cb39b6;5836d032-3f74-4691-bf83-6240aa48240a
3-11832;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;cdcd408f-1107-41d7-9460-c1be3c67e791;86a15678-6c1a-47e6-9726-b8e118ab60b2
3-11424;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;63bd782b-4509-49c3-99fa-e92443258209;8c39c94d-dde2-40fe-a877-9db6d604c524
3-12318;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;65947fb0-47f0-4cc9-a5d0-7df7a47a976e;84afbd9b-7213-4e6c-9858-5c044a736449
3-12739;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;b61267a1-394b-4e3b-8095-339b774014d1;89fecb67-5a60-4458-a205-4bf24698b53f
3-12733;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;5e47d9e1-d377-4339-a840-ad0156cbeab9;0cb1f788-1368-4704-926a-c52d9296de66
