A1811681
"M","A1811681","2-13911.2","Kroeber, 20A, U 22, 01","09/11/2015 11:14"
"M","A1811681","2-13924.4","Kroeber, 20A, U 22, 01","09/11/2015 11:14"
"M","A1811681","12-4647(0)","Kroeber, 20A, U 22, 01","09/11/2015 11:14"
"M","A1811681","12-3878(0)","Kroeber, 20A, U 22, 01","09/11/2015 11:14"
"M","A1811681","12-3877(0)","Kroeber, 20A, U 22, 01","09/11/2015 11:14"
"M","A1811681","12-4650(0)","Kroeber, 20A, U 22, 01","09/11/2015 11:14"
"M","A1811681","12-4649(0)","Kroeber, 20A, U 22, 01","09/11/2015 11:14"
"M","A1811681","12-4650A","Kroeber, 20A, U 22, 01","09/11/2015 11:14"
"M","A1811681","12-4651(0)","Kroeber, 20A, U 22, 01","09/11/2015 11:14"
"M","A1811681","12-4651A","Kroeber, 20A, U 22, 01","09/11/2015 11:14"
"M","A1811681","12-4648(0)","Kroeber, 20A, U 22, 01","09/11/2015 11:14"
Kroeber, 20A, U 22, 02
09/11/2015 11:15
"M","A1811681","12-4646(0)","Kroeber, 20A, U 22, 02","09/11/2015 11:15"
Kroeber, 20A, U 22, 03
09/11/2015 11:15
"M","A1811681","12-3827(0)","Kroeber, 20A, U 22, 03","09/11/2015 11:15"
Kroeber, 20A, U 22, 04
09/11/2015 11:15
"M","A1811681","12-4765(0)","Kroeber, 20A, U 22, 04","09/11/2015 11:15"
"M","A1811681","12-64(0)","Kroeber, 20A, U 22, 04","09/11/2015 11:15"
"M","A1811681","12-6000A","Kroeber, 20A, U 22, 04","09/11/2015 11:15"
"M","A1811681","12-6000(0)","Kroeber, 20A, U 22, 04","09/11/2015 11:15"
"M","A1811681","12-4765A","Kroeber, 20A, U 22, 04","09/11/2015 11:15"
Kroeber, 20A, X 34, 12
09/11/2015 11:19
"M","A1811681","12-10383(0)","Kroeber, 20A, X 34, 12","09/11/2015 11:19"
"M","A1811681","12-10123(0)","Kroeber, 20A, X 34, 12","09/11/2015 11:19"
"M","A1811681","12-9830(0)","Kroeber, 20A, X 34, 12","09/11/2015 11:19"
"M","A1811681","12-9803(0)","Kroeber, 20A, X 34, 12","09/11/2015 11:19"
"M","A1811681","12-9735(0)","Kroeber, 20A, X 34, 12","09/11/2015 11:19"
"M","A1811681","12-9734(0)","Kroeber, 20A, X 34, 12","09/11/2015 11:19"
"M","A1811681","12-9733(0)","Kroeber, 20A, X 34, 12","09/11/2015 11:19"
"M","A1811681","12-9252A","Kroeber, 20A, X 34, 12","09/11/2015 11:19"
"M","A1811681","12-9252(0)","Kroeber, 20A, X 34, 12","09/11/2015 11:19"
Kroeber, 20A, X 33, 01
09/11/2015 11:20
"M","A1811681","12-10686(0)","Kroeber, 20A, X 33, 01","09/11/2015 11:20"
"M","A1811681","12-10685(0)","Kroeber, 20A, X 33, 01","09/11/2015 11:20"
"M","A1811681","12-10665(0)","Kroeber, 20A, X 33, 01","09/11/2015 11:20"
"M","A1811681","12-10651(0)","Kroeber, 20A, X 33, 01","09/11/2015 11:20"
"M","A1811681","12-10650(0)","Kroeber, 20A, X 33, 01","09/11/2015 11:20"
"M","A1811681","12-10252A","Kroeber, 20A, X 33, 01","09/11/2015 11:20"
"M","A1811681","12-9732A","Kroeber, 20A, X 33, 01","09/11/2015 11:20"
"M","A1811681","12-9732(0)","Kroeber, 20A, X 33, 01","09/11/2015 11:20"
"M","A1811681","12-8882(0)","Kroeber, 20A, X 33, 01","09/11/2015 11:20"
"M","A1811681","12-8307A","Kroeber, 20A, X 33, 01","09/11/2015 11:20"
"M","A1811681","12-8052D","Kroeber, 20A, X 33, 01","09/11/2015 11:20"
"M","A1811681","12-6130D","Kroeber, 20A, X 33, 01","09/11/2015 11:20"
"M","A1811681","12-2502(0)","Kroeber, 20A, X 33, 01","09/11/2015 11:20"
Kroeber, 20A, X 33, 02
09/11/2015 11:20
"M","A1811681","12-9873(0)","Kroeber, 20A, X 33, 02","09/11/2015 11:20"
"M","A1811681","12-5286(0)","Kroeber, 20A, X 33, 02","09/11/2015 11:20"
"M","A1811681","12-4305A","Kroeber, 20A, X 33, 02","09/11/2015 11:20"
"M","A1811681","12-3974(0)","Kroeber, 20A, X 33, 02","09/11/2015 11:20"
"M","A1811681","12-1676(0)","Kroeber, 20A, X 33, 02","09/11/2015 11:20"
"M","A1811681","12-111(0)","Kroeber, 20A, X 33, 02","09/11/2015 11:20"
Kroeber, 20A, X 33, 03
09/11/2015 11:21
"M","A1811681","12-8382A","Kroeber, 20A, X 33, 03","09/11/2015 11:21"
"M","A1811681","12-8382(0)","Kroeber, 20A, X 33, 03","09/11/2015 11:21"
"M","A1811681","12-7688(0)","Kroeber, 20A, X 33, 03","09/11/2015 11:21"
"M","A1811681","12-6759B","Kroeber, 20A, X 33, 03","09/11/2015 11:21"
"M","A1811681","12-6759A","Kroeber, 20A, X 33, 03","09/11/2015 11:21"
